Source,Target,combined_score,from_ALS,from_FTD
CHCHD10,TUBA4A,0.623,NO,YES
CHCHD10,CHMP2B,0.645,NO,YES
CHCHD10,TBK1,0.608,NO,YES
CHCHD10,MAPT,0.472,NO,YES
CHCHD10,HNRNPA1,0.507,NO,YES
CHCHD10,UBQLN2,0.706,NO,YES
CHCHD10,VCP,0.714,NO,YES
CHCHD10,DCTN1,0.601,NO,YES
CHCHD10,SQSTM1,0.615,NO,YES
CHCHD10,CCNF,0.621,NO,YES
CHCHD10,TIA1,0.425,NO,YES
CHCHD10,C9orf72,0.72,NO,YES
CHMP2B,GRN,0.823,NO,YES
CHMP2B,TARDBP,0.852,NO,YES
CHMP2B,TUBA4A,0.705,NO,YES
CHMP2B,HNRNPA2B1,0.441,NO,YES
CHMP2B,HNRNPA1,0.483,NO,YES
CHMP2B,APP,0.491,NO,YES
CHMP2B,PSEN2,0.56,NO,YES
CHMP2B,PSEN1,0.57,NO,YES
CHMP2B,CHCHD10,0.645,NO,YES
CHMP2B,DCTN1,0.654,NO,YES
CHMP2B,TBK1,0.727,NO,YES
CHMP2B,MAPT,0.745,NO,YES
CHMP2B,UBQLN2,0.775,NO,YES
CHMP2B,SQSTM1,0.778,NO,YES
CHMP2B,C9orf72,0.848,NO,YES
CHMP2B,VCP,0.858,NO,YES
DCTN1,GRN,0.414,NO,YES
DCTN1,TARDBP,0.791,NO,YES
DCTN1,TUBA4A,0.6,NO,YES
DCTN1,CHMP2B,0.654,NO,YES
DCTN1,TBK1,0.456,NO,YES
DCTN1,MAPT,0.817,NO,YES
DCTN1,HNRNPA1,0.636,NO,YES
DCTN1,UBQLN2,0.684,NO,YES
DCTN1,VCP,0.899,NO,YES
DCTN1,CHCHD10,0.601,NO,YES
DCTN1,C9orf72,0.687,NO,YES
DCTN1,SQSTM1,0.776,NO,YES
GRN,DCTN1,0.414,NO,YES
GRN,SQSTM1,0.436,NO,YES
GRN,TBK1,0.442,NO,YES
GRN,SORL1,0.445,NO,YES
GRN,HNRNPA2B1,0.525,NO,YES
