Source,Target,combined_score,from_ALS,from_FTD
COX6A2,NDUFB3,0.9,YES,NO
COX6A2,NDUFA3,0.905,YES,NO
COX6A2,COX8A,0.905,YES,NO
COX6A2,NDUFS1,0.907,YES,NO
COX6A2,NDUFA7,0.912,YES,NO
COX6A2,NDUFA11,0.913,YES,NO
COX6A2,NDUFA1,0.915,YES,NO
COX6A2,UQCRHL,0.919,YES,NO
COX6A2,NDUFS2,0.919,YES,NO
COX6A2,NDUFAB1,0.926,YES,NO
COX6A2,NDUFS8,0.927,YES,NO
COX6A2,NDUFV1,0.931,YES,NO
COX6A2,NDUFV2,0.933,YES,NO
COX6A2,NDUFA13,0.938,YES,NO
COX6A2,NDUFB6,0.939,YES,NO
COX6A2,NDUFA4,0.941,YES,NO
COX6A2,NDUFS4,0.944,YES,NO
COX6A2,NDUFS5,0.944,YES,NO
COX6A2,NDUFB8,0.948,YES,NO
COX6A2,NDUFA6,0.954,YES,NO
COX6A2,NDUFA8,0.954,YES,NO
COX6A2,NDUFA5,0.956,YES,NO
COX6A2,NDUFA12,0.957,YES,NO
COX6A2,COX6B2,0.976,YES,NO
COX6A2,MT-CYB,0.983,YES,NO
COX6A2,UQCRH,0.988,YES,NO
COX6A2,COX7B,0.99,YES,NO
COX6A2,COX4I2,0.99,YES,NO
COX6A2,MT-CO1,0.992,YES,NO
COX6A2,MT-CO2,0.992,YES,NO
COX6A2,UQCR11,0.992,YES,NO
COX6A2,COX6C,0.995,YES,NO
COX6A2,UQCRFS1,0.996,YES,NO
COX6A2,CYC1,0.996,YES,NO
COX6A2,COX7A1,0.996,YES,NO
COX6A2,MT-CO3,0.996,YES,NO
COX6A2,UQCRQ,0.997,YES,NO
COX6A2,COX4I1,0.998,YES,NO
COX6A2,UQCRB,0.998,YES,NO
COX6A2,UQCR10,0.998,YES,NO
COX6A2,COX5A,0.999,YES,NO
COX6A2,COX7C,0.999,YES,NO
COX6A2,COX6B1,0.999,YES,NO
COX6B1,NDUFB4,0.956,YES,NO
COX6B1,UQCRC1,0.989,YES,NO
COX6B1,ATP5F1D,0.814,YES,NO
COX6B1,NDUFB7,0.972,YES,NO
COX6B1,COX6A1,0.999,YES,NO
COX6B1,NDUFS7,0.936,YES,NO
COX6B1,ATP5F1E,0.658,YES,NO
COX6B1,NDUFA2,0.982,YES,NO
COX6B1,NDUFA10,0.948,YES,NO
COX6B1,COX5B,0.999,YES,NO
COX6B1,NDUFB5,0.948,YES,NO
COX6B1,ATP5F1B,0.663,YES,NO
COX6B1,NDUFS3,0.952,YES,NO
COX6B1,SDHA,0.559,YES,NO
COX6B1,NDUFA9,0.931,YES,NO
COX6B1,UQCRC2,0.997,YES,NO
COX6B1,NDUFB10,0.944,YES,NO
COX6B1,PSMB6,0.495,YES,NO
COX6B1,NDUFS6,0.954,YES,NO
COX6B1,NDUFB9,0.987,YES,NO
COX6B1,NDUFC2,0.952,YES,NO
COX6B1,ATP5MC3,0.776,YES,NO
COX6B1,COX6A2,0.999,YES,NO
COX6B1,ATP5PO,0.691,YES,NO
COX6B1,COX7A1,0.998,YES,NO
COX6B1,NDUFS4,0.958,YES,NO
COX6B1,NDUFB8,0.983,YES,NO
COX6B1,NDUFA7,0.955,YES,NO
COX6B1,ATP5PD,0.879,YES,NO
COX6B1,UQCRFS1,0.997,YES,NO
COX6B1,CYCS,0.941,YES,NO
COX6B1,UQCRH,0.992,YES,NO
COX6B1,NDUFS8,0.96,YES,NO
COX6B1,CYC1,0.994,YES,NO
COX6B1,COX5A,0.999,YES,NO
COX6B1,COX8A,0.998,YES,NO
COX6B1,NDUFV2,0.972,YES,NO
COX6B1,NDUFA12,0.976,YES,NO
COX6B1,UQCR10,0.999,YES,NO
COX6B1,NDUFA4,0.999,YES,NO
COX6B1,COX8C,0.727,YES,NO
COX6B1,NDUFV3,0.911,YES,NO
COX6B1,ATP5F1C,0.718,YES,NO
COX6B1,MT-CO1,0.998,YES,NO
COX6B1,MT-CYB,0.975,YES,NO
COX6B1,MT-ATP6,0.475,YES,NO
COX6B1,MT-ND6,0.868,YES,NO
COX6B1,MT-ND1,0.891,YES,NO
COX6B1,MT-ND4L,0.871,YES,NO
COX6B1,MT-ND5,0.898,YES,NO
COX6B1,MT-CO2,0.999,YES,NO
COX6B1,MT-ND4,0.91,YES,NO
COX6B1,MT-CO3,0.999,YES,NO
COX6B1,MT-ND2,0.917,YES,NO
COX6B1,MT-ND3,0.872,YES,NO
COX6B1,SDHC,0.554,YES,NO
COX6B1,NDUFS2,0.951,YES,NO
COX6B1,ATP5PB,0.653,YES,NO
COX6B1,COX7A2,0.998,YES,NO
COX6B1,NDUFA1,0.979,YES,NO
COX6B1,NDUFS5,0.952,YES,NO
COX6B1,NDUFA8,0.971,YES,NO
COX6B1,SDHB,0.798,YES,NO
COX6B1,SDHD,0.603,YES,NO
COX6B1,COX4I2,0.981,YES,NO
COX6B1,COX7A2L,0.951,YES,NO
COX6B1,UQCRQ,0.999,YES,NO
COX6B1,NDUFB6,0.964,YES,NO
COX6B1,ATP5MC1,0.72,YES,NO
COX6B1,NDUFA4L2,0.65,YES,NO
COX6B1,COX7B2,0.916,YES,NO
COX6B1,ATP5F1A,0.577,YES,NO
COX6B1,NDUFA11,0.945,YES,NO
COX6B1,ATP5PF,0.855,YES,NO
COX6B1,NDUFS1,0.971,YES,NO
COX6B1,NDUFB3,0.952,YES,NO
COX6B1,NDUFA5,0.968,YES,NO
COX6B1,NDUFA3,0.974,YES,NO
COX6B1,NDUFB2,0.898,YES,NO
COX6B1,NDUFA13,0.957,YES,NO
COX6B1,COX7C,0.999,YES,NO
COX6B1,COX6C,0.999,YES,NO
COX6B1,UQCRB,0.999,YES,NO
COX6B1,NDUFC1,0.91,YES,NO
COX6B1,DDIT3,0.442,YES,NO
COX6B1,COX4I1,0.999,YES,NO
COX6B1,NDUFAB1,0.951,YES,NO
COX6B1,ATP5MC2,0.572,YES,NO
COX6B1,UQCRHL,0.902,YES,NO
COX6B1,COX6B2,0.906,YES,NO
COX6B1,NDUFB1,0.944,YES,NO
COX6B1,NDUFV1,0.96,YES,NO
COX6B1,NDUFA6,0.971,YES,NO
COX6B1,COX7B,0.996,YES,NO
COX6B1,UQCR11,0.997,YES,NO
COX6B2,NDUFB4,0.551,YES,NO
COX6B2,UQCRC1,0.87,YES,NO
COX6B2,ATP5F1D,0.666,YES,NO
COX6B2,NDUFB7,0.763,YES,NO
COX6B2,COX6A1,0.952,YES,NO
COX6B2,NDUFS7,0.646,YES,NO
COX6B2,ATP5F1E,0.505,YES,NO
COX6B2,NDUFA2,0.764,YES,NO
COX6B2,NDUFA10,0.537,YES,NO
COX6B2,COX5B,0.983,YES,NO
COX6B2,NDUFB5,0.629,YES,NO
COX6B2,ATP5F1B,0.406,YES,NO
COX6B2,NDUFS3,0.527,YES,NO
COX6B2,NDUFA9,0.506,YES,NO
COX6B2,UQCRC2,0.958,YES,NO
COX6B2,NDUFB10,0.527,YES,NO
COX6B2,NDUFS6,0.57,YES,NO
COX6B2,NDUFB9,0.744,YES,NO
COX6B2,NDUFC2,0.622,YES,NO
COX6B2,ATP5MC3,0.68,YES,NO
COX6B2,COX6A2,0.976,YES,NO
COX6B2,COX7A1,0.826,YES,NO
COX6B2,NDUFS4,0.676,YES,NO
COX6B2,NDUFB8,0.747,YES,NO
COX6B2,NDUFA7,0.513,YES,NO
COX6B2,ATP5PD,0.779,YES,NO
COX6B2,UQCRFS1,0.951,YES,NO
COX6B2,CYCS,0.744,YES,NO
COX6B2,UQCRH,0.886,YES,NO
COX6B2,NDUFS8,0.639,YES,NO
COX6B2,CYC1,0.944,YES,NO
COX6B2,COX5A,0.988,YES,NO
COX6B2,COX8A,0.66,YES,NO
COX6B2,NDUFV2,0.758,YES,NO
COX6B2,NDUFA12,0.766,YES,NO
COX6B2,UQCR10,0.97,YES,NO
COX6B2,NDUFA4,0.603,YES,NO
COX6B2,COX8C,0.681,YES,NO
COX6B2,NDUFV3,0.419,YES,NO
COX6B2,ATP5F1C,0.538,YES,NO
COX6B2,MT-CO1,0.94,YES,NO
COX6B2,MT-CYB,0.788,YES,NO
COX6B2,MT-CO2,0.944,YES,NO
COX6B2,MT-ND4,0.491,YES,NO
COX6B2,MT-CO3,0.942,YES,NO
COX6B2,MT-ND2,0.448,YES,NO
COX6B2,SDHC,0.423,YES,NO
COX6B2,NDUFS2,0.664,YES,NO
COX6B2,ATP5PB,0.458,YES,NO
COX6B2,COX7A2,0.771,YES,NO
COX6B2,NDUFA1,0.411,YES,NO
COX6B2,NDUFS5,0.467,YES,NO
COX6B2,NDUFA8,0.715,YES,NO
COX6B2,SDHB,0.506,YES,NO
COX6B2,SDHD,0.412,YES,NO
COX6B2,COX4I2,0.926,YES,NO
COX6B2,COX7A2L,0.695,YES,NO
COX6B2,UQCRQ,0.959,YES,NO
COX6B2,NDUFB6,0.792,YES,NO
COX6B2,ATP5MC1,0.516,YES,NO
COX6B2,NDUFA4L2,0.536,YES,NO
COX6B2,COX7B2,0.838,YES,NO
COX6B2,NDUFA11,0.55,YES,NO
COX6B2,ATP5PF,0.655,YES,NO
COX6B2,NDUFS1,0.476,YES,NO
COX6B2,NDUFB3,0.558,YES,NO
COX6B2,NDUFA5,0.777,YES,NO
COX6B2,NDUFA3,0.557,YES,NO
COX6B2,NDUFA13,0.554,YES,NO
COX6B2,COX7C,0.986,YES,NO
COX6B2,COX6C,0.96,YES,NO
COX6B2,UQCRB,0.983,YES,NO
COX6B2,DDIT3,0.442,YES,NO
COX6B2,COX4I1,0.91,YES,NO
COX6B2,NDUFAB1,0.572,YES,NO
COX6B2,COX6B1,0.906,YES,NO
COX6B2,UQCR11,0.927,YES,NO
COX6B2,ATP5MC2,0.587,YES,NO
COX6B2,NDUFV1,0.614,YES,NO
COX6B2,NDUFA6,0.757,YES,NO
COX6B2,COX7B,0.832,YES,NO
COX6B2,UQCRHL,0.863,YES,NO
COX6C,NDUFB4,0.985,YES,NO
COX6C,UQCRC1,0.965,YES,NO
COX6C,ATP5F1D,0.812,YES,NO
COX6C,NDUFB7,0.833,YES,NO
COX6C,COX6A1,0.999,YES,NO
COX6C,NDUFS7,0.787,YES,NO
COX6C,ATP5F1E,0.796,YES,NO
COX6C,NDUFA2,0.955,YES,NO
COX6C,NDUFA10,0.694,YES,NO
COX6C,COX5B,0.999,YES,NO
COX6C,NDUFB5,0.982,YES,NO
COX6C,ATP5F1B,0.513,YES,NO
COX6C,NDUFS3,0.846,YES,NO
COX6C,NDUFA9,0.802,YES,NO
COX6C,UQCRC2,0.967,YES,NO
COX6C,NDUFB10,0.939,YES,NO
COX6C,NDUFS6,0.907,YES,NO
COX6C,NDUFB9,0.985,YES,NO
COX6C,NDUFC2,0.913,YES,NO
COX6C,ATP5MC3,0.577,YES,NO
COX6C,COX6A2,0.995,YES,NO
COX6C,ATP5PO,0.828,YES,NO
COX6C,COX7A1,0.952,YES,NO
COX6C,NDUFS4,0.924,YES,NO
COX6C,NDUFB8,0.927,YES,NO
COX6C,NDUFA7,0.903,YES,NO
COX6C,ATP5PD,0.975,YES,NO
COX6C,UQCRFS1,0.978,YES,NO
COX6C,CYCS,0.926,YES,NO
COX6C,UQCRH,0.985,YES,NO
COX6C,NDUFS8,0.817,YES,NO
COX6C,CYC1,0.962,YES,NO
COX6C,COX5A,0.999,YES,NO
COX6C,COX8A,0.998,YES,NO
COX6C,NDUFV2,0.822,YES,NO
COX6C,NDUFA12,0.969,YES,NO
COX6C,UQCR10,0.997,YES,NO
COX6C,NDUFA4,0.999,YES,NO
COX6C,COX8C,0.719,YES,NO
COX6C,NDUFV3,0.835,YES,NO
COX6C,ATP5F1C,0.823,YES,NO
COX6C,MT-CO1,0.998,YES,NO
COX6C,MT-CYB,0.941,YES,NO
COX6C,MT-ND6,0.682,YES,NO
COX6C,MT-ND1,0.665,YES,NO
COX6C,MT-ND4L,0.597,YES,NO
COX6C,MT-ND5,0.636,YES,NO
COX6C,MT-CO2,0.999,YES,NO
COX6C,MT-ND4,0.63,YES,NO
COX6C,MT-CO3,0.995,YES,NO
COX6C,MT-ND2,0.662,YES,NO
COX6C,MT-ND3,0.623,YES,NO
COX6C,SDHC,0.545,YES,NO
COX6C,NDUFS2,0.742,YES,NO
COX6C,ATP5PB,0.74,YES,NO
COX6C,COX7A2,0.997,YES,NO
COX6C,NDUFA1,0.885,YES,NO
COX6C,NDUFS5,0.959,YES,NO
COX6C,NDUFA8,0.842,YES,NO
COX6C,SDHB,0.589,YES,NO
COX6C,SDHD,0.587,YES,NO
COX6C,COX4I2,0.982,YES,NO
COX6C,COX7A2L,0.951,YES,NO
COX6C,UQCRQ,0.998,YES,NO
COX6C,NDUFB6,0.89,YES,NO
COX6C,ATP5MC1,0.763,YES,NO
COX6C,NDUFA4L2,0.856,YES,NO
COX6C,COX7B2,0.951,YES,NO
COX6C,ATP5F1A,0.656,YES,NO
COX6C,NDUFA11,0.785,YES,NO
COX6C,ATP5PF,0.908,YES,NO
COX6C,NDUFS1,0.68,YES,NO
COX6C,NDUFB3,0.968,YES,NO
COX6C,NDUFA5,0.938,YES,NO
COX6C,NDUFA3,0.894,YES,NO
COX6C,NDUFB2,0.774,YES,NO
COX6C,NDUFA13,0.925,YES,NO
COX6C,COX7C,0.999,YES,NO
COX6C,ATP5MC2,0.551,YES,NO
COX6C,NDUFV1,0.713,YES,NO
COX6C,NDUFAB1,0.813,YES,NO
COX6C,NDUFB1,0.83,YES,NO
COX6C,NDUFC1,0.88,YES,NO
COX6C,NDUFA6,0.937,YES,NO
COX6C,COX6B2,0.96,YES,NO
COX6C,UQCRHL,0.968,YES,NO
COX6C,UQCRB,0.991,YES,NO
COX6C,UQCR11,0.994,YES,NO
COX6C,COX4I1,0.999,YES,NO
COX6C,COX6B1,0.999,YES,NO
COX6C,COX7B,0.999,YES,NO
COX7A1,NDUFB4,0.941,YES,NO
COX7A1,UQCRC1,0.998,YES,NO
COX7A1,NDUFB7,0.898,YES,NO
COX7A1,COX6A1,0.979,YES,NO
COX7A1,NDUFS7,0.893,YES,NO
COX7A1,NDUFA2,0.901,YES,NO
COX7A1,NDUFA10,0.874,YES,NO
COX7A1,COX5B,0.996,YES,NO
COX7A1,NDUFB5,0.878,YES,NO
COX7A1,NDUFS3,0.868,YES,NO
COX7A1,NDUFA9,0.92,YES,NO
COX7A1,UQCRC2,0.984,YES,NO
COX7A1,NDUFB10,0.859,YES,NO
COX7A1,NDUFS6,0.865,YES,NO
COX7A1,NDUFB9,0.891,YES,NO
COX7A1,NDUFC2,0.89,YES,NO
COX7A1,COX6A2,0.996,YES,NO
COX7A1,NDUFA4L2,0.456,YES,NO
COX7A1,COX8C,0.612,YES,NO
COX7A1,CYCS,0.696,YES,NO
COX7A1,COX8A,0.757,YES,NO
COX7A1,COX7B2,0.776,YES,NO
COX7A1,COX6B2,0.826,YES,NO
COX7A1,UQCRHL,0.843,YES,NO
COX7A1,NDUFA4,0.849,YES,NO
COX7A1,NDUFB2,0.851,YES,NO
COX7A1,MT-ND4L,0.853,YES,NO
COX7A1,NDUFB1,0.857,YES,NO
COX7A1,MT-ND6,0.858,YES,NO
COX7A1,MT-ND3,0.858,YES,NO
COX7A1,MT-ND4,0.859,YES,NO
COX7A1,MT-ND2,0.861,YES,NO
COX7A1,NDUFA7,0.862,YES,NO
COX7A1,NDUFS5,0.865,YES,NO
COX7A1,NDUFS8,0.868,YES,NO
COX7A1,MT-ND1,0.869,YES,NO
COX7A1,NDUFA12,0.869,YES,NO
COX7A1,NDUFA13,0.872,YES,NO
COX7A1,NDUFC1,0.874,YES,NO
COX7A1,NDUFS2,0.88,YES,NO
COX7A1,NDUFV2,0.881,YES,NO
COX7A1,NDUFA6,0.882,YES,NO
COX7A1,NDUFS4,0.883,YES,NO
COX7A1,NDUFA8,0.883,YES,NO
COX7A1,NDUFA3,0.887,YES,NO
COX7A1,NDUFAB1,0.888,YES,NO
COX7A1,NDUFV1,0.895,YES,NO
COX7A1,NDUFS1,0.895,YES,NO
COX7A1,NDUFA11,0.899,YES,NO
COX7A1,NDUFA5,0.901,YES,NO
COX7A1,NDUFB3,0.904,YES,NO
COX7A1,NDUFV3,0.908,YES,NO
COX7A1,COX4I2,0.909,YES,NO
COX7A1,NDUFB6,0.919,YES,NO
COX7A1,MT-ND5,0.92,YES,NO
COX7A1,COX7A2L,0.921,YES,NO
COX7A1,NDUFA1,0.925,YES,NO
COX7A1,NDUFB8,0.927,YES,NO
COX7A1,COX7A2,0.943,YES,NO
COX7A1,COX6C,0.952,YES,NO
COX7A1,MT-CYB,0.973,YES,NO
COX7A1,COX7B,0.977,YES,NO
COX7A1,MT-CO1,0.979,YES,NO
COX7A1,UQCRH,0.979,YES,NO
COX7A1,MT-CO3,0.979,YES,NO
COX7A1,CYC1,0.983,YES,NO
COX7A1,MT-CO2,0.984,YES,NO
COX7A1,UQCRFS1,0.985,YES,NO
COX7A1,UQCRQ,0.988,YES,NO
COX7A1,UQCR10,0.988,YES,NO
COX7A1,COX4I1,0.989,YES,NO
COX7A1,COX5A,0.994,YES,NO
COX7A1,COX7C,0.994,YES,NO
COX7A1,UQCRB,0.994,YES,NO
COX7A1,COX6B1,0.998,YES,NO
COX7A1,UQCR11,0.999,YES,NO
COX7A2,NDUFB4,0.677,YES,NO
COX7A2,UQCRC1,0.833,YES,NO
COX7A2,ATP5F1D,0.524,YES,NO
COX7A2,NDUFB7,0.656,YES,NO
COX7A2,PSMA3,0.403,YES,NO
COX7A2,PSMA2,0.422,YES,NO
COX7A2,COX6A1,0.998,YES,NO
COX7A2,NDUFS7,0.492,YES,NO
COX7A2,ATP5F1E,0.768,YES,NO
COX7A2,NDUFA2,0.903,YES,NO
COX7A2,NDUFA10,0.677,YES,NO
COX7A2,COX5B,0.997,YES,NO
COX7A2,NDUFB5,0.874,YES,NO
COX7A2,PSMA6,0.522,YES,NO
COX7A2,ATP5F1B,0.651,YES,NO
COX7A2,PSMB1,0.491,YES,NO
COX7A2,NDUFS3,0.662,YES,NO
COX7A2,SDHA,0.438,YES,NO
COX7A2,NDUFA9,0.562,YES,NO
COX7A2,UQCRC2,0.855,YES,NO
COX7A2,NDUFB10,0.547,YES,NO
COX7A2,PSMB6,0.441,YES,NO
COX7A2,NDUFS6,0.724,YES,NO
COX7A2,NDUFB9,0.947,YES,NO
COX7A2,NDUFC2,0.83,YES,NO
COX7A2,ATP5MC3,0.867,YES,NO
COX7A2,COX6A2,0.844,YES,NO
COX7A2,ATP5PO,0.808,YES,NO
COX7A2,COX7A1,0.943,YES,NO
COX7A2,NDUFS4,0.771,YES,NO
COX7A2,NDUFB8,0.884,YES,NO
COX7A2,NDUFA7,0.647,YES,NO
COX7A2,ATP5PD,0.929,YES,NO
COX7A2,UQCRFS1,0.846,YES,NO
COX7A2,CYCS,0.482,YES,NO
COX7A2,UQCRH,0.926,YES,NO
COX7A2,NDUFS8,0.652,YES,NO
COX7A2,CYC1,0.722,YES,NO
COX7A2,COX5A,0.991,YES,NO
COX7A2,COX8A,0.988,YES,NO
COX7A2,NDUFV2,0.775,YES,NO
COX7A2,NDUFA12,0.887,YES,NO
COX7A2,UQCR10,0.897,YES,NO
COX7A2,NDUFA4,0.997,YES,NO
COX7A2,COX8C,0.833,YES,NO
COX7A2,NDUFV3,0.597,YES,NO
COX7A2,ATP5F1C,0.721,YES,NO
COX7A2,MT-CO1,0.968,YES,NO
COX7A2,MT-CYB,0.634,YES,NO
COX7A2,MT-CO2,0.999,YES,NO
COX7A2,MT-CO3,0.968,YES,NO
COX7A2,SDHC,0.405,YES,NO
COX7A2,NDUFS2,0.525,YES,NO
COX7A2,ATP5PB,0.62,YES,NO
COX7A2,NDUFS1,0.47,YES,NO
COX7A2,NDUFV1,0.525,YES,NO
COX7A2,SDHD,0.53,YES,NO
COX7A2,SDHB,0.536,YES,NO
COX7A2,ATP5MC2,0.646,YES,NO
COX7A2,NDUFB1,0.651,YES,NO
COX7A2,NDUFA3,0.672,YES,NO
COX7A2,ATP5F1A,0.68,YES,NO
COX7A2,NDUFB2,0.712,YES,NO
COX7A2,NDUFA11,0.718,YES,NO
COX7A2,NDUFC1,0.725,YES,NO
COX7A2,NDUFA13,0.731,YES,NO
COX7A2,NDUFA8,0.758,YES,NO
COX7A2,NDUFB3,0.76,YES,NO
COX7A2,COX6B2,0.771,YES,NO
COX7A2,NDUFA4L2,0.777,YES,NO
COX7A2,ATP5MC1,0.791,YES,NO
COX7A2,NDUFA5,0.795,YES,NO
COX7A2,NDUFS5,0.796,YES,NO
COX7A2,NDUFAB1,0.801,YES,NO
COX7A2,UQCRHL,0.809,YES,NO
COX7A2,NDUFA1,0.824,YES,NO
COX7A2,UQCRB,0.855,YES,NO
COX7A2,NDUFA6,0.862,YES,NO
COX7A2,COX4I2,0.863,YES,NO
COX7A2,NDUFB6,0.895,YES,NO
COX7A2,ATP5PF,0.906,YES,NO
COX7A2,COX7B2,0.933,YES,NO
COX7A2,COX7A2L,0.939,YES,NO
COX7A2,UQCR11,0.965,YES,NO
COX7A2,UQCRQ,0.973,YES,NO
COX7A2,COX7B,0.991,YES,NO
COX7A2,COX4I1,0.993,YES,NO
COX7A2,COX7C,0.997,YES,NO
COX7A2,COX6C,0.997,YES,NO
COX7A2,COX6B1,0.998,YES,NO
COX7A2L,NDUFB4,0.41,YES,NO
COX7A2L,UQCRC1,0.926,YES,NO
COX7A2L,COX6A1,0.981,YES,NO
COX7A2L,NDUFS7,0.46,YES,NO
COX7A2L,ATP5F1E,0.413,YES,NO
COX7A2L,COX5B,0.972,YES,NO
COX7A2L,NDUFB5,0.516,YES,NO
COX7A2L,GRIN2D,0.839,YES,NO
COX7A2L,NDUFS3,0.454,YES,NO
COX7A2L,NDUFA9,0.519,YES,NO
COX7A2L,UQCRC2,0.937,YES,NO
COX7A2L,ATP5MC3,0.416,YES,NO
COX7A2L,COX6A2,0.837,YES,NO
COX7A2L,COX7A1,0.921,YES,NO
COX7A2L,NDUFS4,0.996,YES,NO
COX7A2L,NDUFB8,0.422,YES,NO
COX7A2L,ATP5PD,0.442,YES,NO
COX7A2L,UQCRFS1,0.928,YES,NO
COX7A2L,CYCS,0.546,YES,NO
COX7A2L,UQCRH,0.941,YES,NO
COX7A2L,NDUFS8,0.404,YES,NO
COX7A2L,CYC1,0.911,YES,NO
COX7A2L,COX5A,0.969,YES,NO
COX7A2L,COX8A,0.912,YES,NO
COX7A2L,UQCR10,0.889,YES,NO
COX7A2L,NDUFA4,0.938,YES,NO
COX7A2L,COX8C,0.587,YES,NO
COX7A2L,ATP5F1C,0.458,YES,NO
COX7A2L,MT-CO1,0.969,YES,NO
COX7A2L,MT-CYB,0.755,YES,NO
COX7A2L,MT-CO2,0.945,YES,NO
COX7A2L,MT-CO3,0.967,YES,NO
COX7A2L,NDUFS2,0.477,YES,NO
COX7A2L,COX7A2,0.939,YES,NO
COX7A2L,NDUFS5,0.996,YES,NO
COX7A2L,COX4I2,0.841,YES,NO
COX7A2L,NDUFA11,0.403,YES,NO
COX7A2L,NDUFA4L2,0.413,YES,NO
COX7A2L,ATP5PF,0.417,YES,NO
COX7A2L,NDUFS1,0.432,YES,NO
COX7A2L,NDUFA3,0.453,YES,NO
COX7A2L,NDUFV1,0.458,YES,NO
COX7A2L,UQCRHL,0.69,YES,NO
COX7A2L,COX6B2,0.695,YES,NO
COX7A2L,UQCR11,0.8,YES,NO
COX7A2L,COX7B2,0.827,YES,NO
COX7A2L,COX7B,0.934,YES,NO
COX7A2L,UQCRQ,0.941,YES,NO
COX7A2L,UQCRB,0.949,YES,NO
COX7A2L,COX6B1,0.951,YES,NO
COX7A2L,COX6C,0.951,YES,NO
COX7A2L,COX4I1,0.967,YES,NO
COX7A2L,COX7C,0.977,YES,NO
COX7B,NDUFB4,0.927,YES,NO
COX7B,UQCRC1,0.974,YES,NO
COX7B,NDUFB7,0.923,YES,NO
COX7B,COX6A1,0.996,YES,NO
COX7B,NDUFS7,0.905,YES,NO
COX7B,ATP5F1E,0.669,YES,NO
COX7B,NDUFA2,0.949,YES,NO
COX7B,NDUFA10,0.912,YES,NO
COX7B,COX5B,0.999,YES,NO
COX7B,NDUFB5,0.974,YES,NO
COX7B,ATP5F1B,0.434,YES,NO
COX7B,NDUFS3,0.909,YES,NO
COX7B,SDHA,0.402,YES,NO
COX7B,NDUFA9,0.888,YES,NO
COX7B,UQCRC2,0.977,YES,NO
COX7B,NDUFB10,0.928,YES,NO
COX7B,NDUFS6,0.918,YES,NO
COX7B,NDUFB9,0.977,YES,NO
COX7B,NDUFC2,0.917,YES,NO
COX7B,ATP5MC3,0.61,YES,NO
COX7B,COX6A2,0.99,YES,NO
COX7B,ATP5PO,0.65,YES,NO
COX7B,COX7A1,0.977,YES,NO
COX7B,NDUFS4,0.946,YES,NO
COX7B,NDUFB8,0.905,YES,NO
COX7B,NDUFA7,0.936,YES,NO
COX7B,ATP5PD,0.763,YES,NO
COX7B,UQCRFS1,0.976,YES,NO
COX7B,CYCS,0.858,YES,NO
COX7B,UQCRH,0.99,YES,NO
COX7B,NDUFS8,0.899,YES,NO
COX7B,CYC1,0.973,YES,NO
COX7B,COX5A,0.995,YES,NO
COX7B,COX8A,0.997,YES,NO
COX7B,NDUFV2,0.927,YES,NO
COX7B,NDUFA12,0.934,YES,NO
COX7B,UQCR10,0.992,YES,NO
COX7B,NDUFA4,0.997,YES,NO
COX7B,COX8C,0.684,YES,NO
COX7B,NDUFV3,0.911,YES,NO
COX7B,ATP5F1C,0.591,YES,NO
COX7B,MT-CO1,0.995,YES,NO
COX7B,MT-CYB,0.963,YES,NO
COX7B,MT-ND6,0.875,YES,NO
COX7B,MT-ND1,0.876,YES,NO
COX7B,MT-ND4L,0.869,YES,NO
COX7B,MT-ND5,0.877,YES,NO
COX7B,MT-CO2,0.996,YES,NO
COX7B,MT-ND4,0.873,YES,NO
COX7B,MT-CO3,0.987,YES,NO
COX7B,MT-ND2,0.878,YES,NO
COX7B,MT-ND3,0.864,YES,NO
COX7B,NDUFS2,0.907,YES,NO
COX7B,ATP5PB,0.583,YES,NO
COX7B,COX7A2,0.991,YES,NO
COX7B,NDUFA1,0.983,YES,NO
COX7B,NDUFS5,0.929,YES,NO
COX7B,NDUFA8,0.913,YES,NO
COX7B,SDHB,0.605,YES,NO
COX7B,SDHD,0.462,YES,NO
COX7B,COX4I2,0.915,YES,NO
COX7B,COX7A2L,0.934,YES,NO
COX7B,UQCRQ,0.991,YES,NO
COX7B,NDUFB6,0.935,YES,NO
COX7B,ATP5MC1,0.647,YES,NO
COX7B,NDUFA4L2,0.673,YES,NO
COX7B,COX7B2,0.901,YES,NO
COX7B,ATP5F1A,0.488,YES,NO
COX7B,NDUFA11,0.956,YES,NO
COX7B,ATP5PF,0.696,YES,NO
COX7B,NDUFS1,0.936,YES,NO
COX7B,NDUFB3,0.967,YES,NO
COX7B,NDUFA5,0.941,YES,NO
COX7B,NDUFA3,0.93,YES,NO
COX7B,NDUFB2,0.938,YES,NO
COX7B,NDUFA13,0.948,YES,NO
COX7B,COX7C,0.999,YES,NO
COX7B,COX6C,0.999,YES,NO
COX7B,UQCRB,0.984,YES,NO
COX7B,NDUFC1,0.959,YES,NO
COX7B,COX4I1,0.997,YES,NO
COX7B,NDUFAB1,0.924,YES,NO
COX7B,COX6B1,0.996,YES,NO
COX7B,UQCR11,0.99,YES,NO
COX7B,COX6B2,0.832,YES,NO
COX7B,NDUFA6,0.964,YES,NO
COX7B,NDUFB1,0.956,YES,NO
COX7B,UQCRHL,0.881,YES,NO
COX7B,ATP5MC2,0.457,YES,NO
COX7B,NDUFV1,0.913,YES,NO
COX7B2,NDUFB4,0.52,YES,NO
