COL25A1,0.06521788,ALS
LMOD3,0.06521099,ALS
HTRA2,0.06511283,ALS
CHAT,0.06508053,ALS
SYNGAP1,0.065062836,ALS
CDH23,0.06503185,ALS
DST,0.06498804,ALS
CNTNAP2,0.06475409,ALS
DMPK,0.06473695,ALS
MYO6,0.06473486,ALS
MBNL2,0.064696185,ALS
KLHL31,0.06456622,ALS
TLN2,0.06456018,ALS
MYO7A,0.06418304,ALS
LDB3,0.064056516,ALS
SLC6A3,0.064047925,ALS
ASNSD1,0.06394193,ALS
GAS7,0.06387058,ALS
TCAP,0.063801594,ALS
NKX2-8,0.06361249,ALS
NEFM,0.06356869,ALS
ATP8A2,0.06343159,ALS
ZNF106,0.06330688,ALS
LRRC51,0.06326866,ALS
TOMT,0.06326866,ALS
LRTOMT,0.06326866,ALS
GMPPA,0.06323765,ALS
CLCC1,0.06320281,ALS
USP14,0.06314794,ALS
TRIM72,0.06313486,ALS
UNC5C,0.063133046,ALS
IQSEC2,0.06312569,ALS
HDAC4,0.06281646,ALS
MRPL3,0.06264957,ALS
ASPA,0.062393688,ALS
FEZ1,0.062300712,ALS
GARS1,0.0622748,ALS
FHL1,0.062139925,ALS
GAA,0.062096797,ALS
PABPN1,0.062004134,ALS
CACNA1S,0.0615217,ALS
KHDRBS1,0.06137917,ALS
DCTN4,0.061378594,ALS
GTF2H1,0.061378594,ALS
IGF2BP2,0.061378594,ALS
CAV3,0.061357994,ALS
SP4,0.06133825,ALS
ACTMAP,0.061003674,ALS
MYF5,0.06090717,ALS
MNX1,0.060549796,ALS
L2HGDH,0.0605037,ALS
CARS2,0.06024506,ALS
CRYAB,0.059991166,ALS
ABCD2,0.059944298,ALS
CANX,0.059894525,ALS
LTN1,0.059558764,ALS
TAFA3,0.059532076,ALS
CHN1,0.059213255,ALS
FOXN1,0.059125386,ALS
CAMKMT,0.05909746,ALS
GDF1,0.05909159,ALS
CERS1,0.05909159,ALS
DOCK3,0.058979765,ALS
CASKIN1,0.058962412,ALS
SGCB,0.058813296,ALS
LIMCH1,0.058801387,ALS
ANO5,0.05875724,ALS
LAMC1,0.058743693,ALS
APOE,0.058620177,ALS
NDRG1,0.058390424,ALS
TRDN,0.0583886,ALS
HOTTIP,0.058269706,ALS
