Species A,Gene A,Species B,Gene B,Score
Homo sapiens,AQP3,Homo sapiens,NDUFB5,0.86557112
Homo sapiens,NDUFB8,Homo sapiens,NDUFB5,0.999989506
Homo sapiens,CENPM,Homo sapiens,NDUFB5,0.910220261
Homo sapiens,CYP2J2,Homo sapiens,NDUFB5,0.939027361
Homo sapiens,NDUFA12,Homo sapiens,NDUFB5,0.996335329
Homo sapiens,NDUFS6,Homo sapiens,NDUFB5,0.999165094
Homo sapiens,NDUFA7,Homo sapiens,NDUFB5,0.999968762
Homo sapiens,NDUFB5,Homo sapiens,NCALD,0.999149017
Homo sapiens,TACR1,Homo sapiens,NDUFB5,0.810604697
Homo sapiens,VNN2,Homo sapiens,NDUFB5,0.960637484
Homo sapiens,NDUFV2,Homo sapiens,NDUFB5,0.999959059
Homo sapiens,CRELD1,Homo sapiens,NDUFB5,0.998883261
Homo sapiens,NDUFB5,Homo sapiens,NDUFAF4,0.999153691
Homo sapiens,NDUFB5,Homo sapiens,NDUFS7,0.997351442
Homo sapiens,ENPP6,Homo sapiens,NDUFB5,0.956285989
Homo sapiens,NDUFB5,Homo sapiens,NDUFB9,0.997977269
Homo sapiens,NDUFB5,Homo sapiens,NDUFB10,0.991711005
Homo sapiens,NDUFB5,Homo sapiens,NDUFB7,0.999998976
Homo sapiens,NDUFB5,Homo sapiens,NDUFB6,0.999871156
Homo sapiens,NDUFB5,Homo sapiens,ECSIT,0.999865312
Homo sapiens,NDUFC2,Homo sapiens,NDUFB5,0.999952957
Homo sapiens,NDUFB5,Homo sapiens,NDUFA8,0.99727143
Homo sapiens,NDUFB5,Homo sapiens,NDUFAF1,0.972639084
Homo sapiens,OPRL1,Homo sapiens,NDUFB5,0.901318601
Homo sapiens,FTL,Homo sapiens,NDUFB5,0.895540001
Homo sapiens,GALNT6,Homo sapiens,NDUFB5,0.830084258
Homo sapiens,ATP5D,Homo sapiens,NDUFB5,0.978724712
Homo sapiens,FUT1,Homo sapiens,NDUFB5,0.810604697
Homo sapiens,GPR34,Homo sapiens,NDUFB5,0.972204827
Homo sapiens,GJA8,Homo sapiens,NDUFB5,0.980188623
Homo sapiens,KDSR,Homo sapiens,NDUFB5,0.864530888
Homo sapiens,NDUFB5,Homo sapiens,ND5,0.998558036
Homo sapiens,TTYH1,Homo sapiens,NDUFB5,0.922843769
Homo sapiens,C3AR1,Homo sapiens,NDUFB5,0.896775557
Homo sapiens,PIPSL,Homo sapiens,NDUFB5,0.912489917
Homo sapiens,NDUFV3,Homo sapiens,NDUFB5,0.999998782
Homo sapiens,NDUFB5,Homo sapiens,ND4,0.998775143
Homo sapiens,NDUFB3,Homo sapiens,NDUFB5,0.999970306
Homo sapiens,ITM2A,Homo sapiens,NDUFB5,0.999221826
Homo sapiens,NDUFB5,Homo sapiens,NDUFS3,0.997955126
Homo sapiens,NDUFB5,Homo sapiens,ACAD9,0.955902413
Homo sapiens,NDUFS5,Homo sapiens,NDUFB5,0.998046368
Homo sapiens,NDUFA1,Homo sapiens,NDUFB5,0.996854958
Homo sapiens,IPPK,Homo sapiens,NDUFB5,0.91213335
Homo sapiens,NDUFB5,Homo sapiens,PSME3,0.873987348
Homo sapiens,TMEM140,Homo sapiens,NDUFB5,0.965851744
Homo sapiens,TIMMDC1,Homo sapiens,NDUFB5,0.999999999
Homo sapiens,NDUFB5,Homo sapiens,TMEM126B,0.997951763
Homo sapiens,NDUFB5,Homo sapiens,ND2,0.764877778
Homo sapiens,NDUFB5,Homo sapiens,NDUFB11,1.0
Homo sapiens,NDUFB5,Homo sapiens,NDUFAF3,0.998870343
Homo sapiens,CLEC4A,Homo sapiens,NDUFB5,0.81230099
Homo sapiens,DNAJC30,Homo sapiens,NDUFB5,0.99999555
Homo sapiens,B4GAT1,Homo sapiens,NDUFB5,0.954984107
Homo sapiens,EXTL3,Homo sapiens,NDUFB5,0.997473747
Homo sapiens,NDUFB5,Homo sapiens,FAM192A,0.845482326
Homo sapiens,NDUFB5,Homo sapiens,NDUFB1,0.974745304
Homo sapiens,CD97,Homo sapiens,NDUFB5,0.805758934
Homo sapiens,TMEM185A,Homo sapiens,NDUFB5,0.967108178
Homo sapiens,FFAR1,Homo sapiens,NDUFB5,0.966129652
Homo sapiens,NDUFB5,Homo sapiens,NDUFS8,0.990172484
Homo sapiens,NDUFB5,Homo sapiens,NDUFS2,0.992105884
Homo sapiens,NDUFB5,Homo sapiens,NDUFA5,0.984085439
Homo sapiens,NDUFB5,Homo sapiens,NDUFA3,0.887360519
Homo sapiens,NDUFB5,Homo sapiens,NDUFB8,0.999999821
Homo sapiens,NDUFB5,Homo sapiens,ND1,0.999905777
Homo sapiens,NDUFB5,Homo sapiens,SPAG9,0.999442465
Homo sapiens,MFSD10,Homo sapiens,NDUFB5,0.907185987
Homo sapiens,SLC35A3,Homo sapiens,NDUFB5,0.542069625
Homo sapiens,SLC35B1,Homo sapiens,NDUFB5,0.487890584
Homo sapiens,SLC35B2,Homo sapiens,NDUFB5,0.769124448
Homo sapiens,TSC22D1,Homo sapiens,NDUFA9,0.361
Homo sapiens,NDUFA9,Homo sapiens,NDUFS1,0.93
Homo sapiens,NDUFA9,Homo sapiens,NDUFV1,0.816
Homo sapiens,NDUFA9,Homo sapiens,NDUFA12,0.761
Homo sapiens,NDUFA9,Homo sapiens,NDUFB8,0.752
Homo sapiens,DLD,Homo sapiens,NDUFA9,0.789
Homo sapiens,ELAVL1,Homo sapiens,NDUFA9,0.829
Homo sapiens,HLA-B,Homo sapiens,NDUFA9,0.828
Homo sapiens,SDHB,Homo sapiens,NDUFA9,0.8
Homo sapiens,NDUFA9,Homo sapiens,NNT,0.798
Homo sapiens,NDUFA9,Homo sapiens,OPA1,0.794
Homo sapiens,IMMT,Homo sapiens,NDUFA9,0.769
Homo sapiens,ABCC2,Homo sapiens,NDUFA9,0.768
Homo sapiens,COX15,Homo sapiens,NDUFA9,0.75
Homo sapiens,NDUFS3,Homo sapiens,NDUFA9,0.989189998
Homo sapiens,NDUFA8,Homo sapiens,NDUFA9,0.941455596
Homo sapiens,NDUFA9,Homo sapiens,AFG3L2,0.070593424
Homo sapiens,NDUFA9,Homo sapiens,ATP6V1C1,0.078735958
Homo sapiens,NDUFA9,Homo sapiens,IQGAP1,0.07961843
Homo sapiens,NDUFA9,Homo sapiens,NDUFA6,0.070622683
Homo sapiens,ATP1B3,Homo sapiens,NDUFA9,0.094052837
Homo sapiens,ATP5F1,Homo sapiens,NDUFA9,0.105800392
Homo sapiens,GMDS,Homo sapiens,NDUFA9,0.091423851
Homo sapiens,IMMT,Homo sapiens,NDUFA9,0.093320403
Homo sapiens,NDUFB9,Homo sapiens,NDUFA9,0.085928297
Homo sapiens,NDUFS1,Homo sapiens,NDUFA9,0.408510691
Homo sapiens,UQCRC2,Homo sapiens,NDUFA9,0.105906329
Homo sapiens,UQCRFS1,Homo sapiens,NDUFA9,0.103585371
Homo sapiens,VDAC1,Homo sapiens,NDUFA9,0.089169827
Homo sapiens,VDAC2,Homo sapiens,NDUFA9,0.089763707
Homo sapiens,VDAC3,Homo sapiens,NDUFA9,0.10485002
Homo sapiens,YBX1,Homo sapiens,NDUFA9,0.07958383
Homo sapiens,YBX3,Homo sapiens,NDUFA9,0.080597966
Homo sapiens,NDUFA9,Homo sapiens,NDUFB10,0.100093591
Homo sapiens,NDUFA9,Homo sapiens,SSR1,0.092694893
Homo sapiens,NDUFS3,Homo sapiens,NDUFA9,99.1
Homo sapiens,NDUFA4,Homo sapiens,NDUFA9,99.0
Homo sapiens,C15orf48,Homo sapiens,NDUFA9,98.7
Homo sapiens,COX6B1,Homo sapiens,NDUFA9,97.4
Homo sapiens,OCIAD1,Homo sapiens,NDUFA9,94.5
Homo sapiens,NDUFS6,Homo sapiens,NDUFA9,0.990032406
Homo sapiens,NDUFS3,Homo sapiens,NDUFA9,0.987617016
Homo sapiens,NDUFB11,Homo sapiens,NDUFA9,0.987072552
Homo sapiens,NDUFA8,Homo sapiens,NDUFA9,0.931582913
Homo sapiens,ATP5A1,Homo sapiens,NDUFA9,4.915774261
Homo sapiens,DDX18,Homo sapiens,NDUFA9,-3.161601736
Homo sapiens,EIF3H,Homo sapiens,NDUFA9,-3.693203772
Homo sapiens,FH,Homo sapiens,NDUFA9,3.055955288
Homo sapiens,GNL2,Homo sapiens,NDUFA9,-3.188098994
Homo sapiens,HCCS,Homo sapiens,NDUFA9,3.029967999
Homo sapiens,KDM1A,Homo sapiens,NDUFA9,-3.101989886
Homo sapiens,LEO1,Homo sapiens,NDUFA9,3.846076688
Homo sapiens,MAPKAP1,Homo sapiens,NDUFA9,-3.312562633
Homo sapiens,MED24,Homo sapiens,NDUFA9,-3.086648114
Homo sapiens,MTOR,Homo sapiens,NDUFA9,-3.038113573
Homo sapiens,NDUFA8,Homo sapiens,NDUFA9,3.448281799
Homo sapiens,NDUFA9,Homo sapiens,NDUFB1,3.72682247
Homo sapiens,NDUFA9,Homo sapiens,NDUFB2,3.224353699
Homo sapiens,NDUFA9,Homo sapiens,NUBP1,-3.167285238
Homo sapiens,NDUFA9,Homo sapiens,PGK1,-3.49782532
Homo sapiens,NDUFA9,Homo sapiens,SDHC,3.464530501
Homo sapiens,NDUFA9,Homo sapiens,UQCRB,3.397502298
Homo sapiens,NDUFA9,Homo sapiens,WDR61,-3.043959506
Homo sapiens,NDUFA9,Homo sapiens,XPO1,-3.5764346
Homo sapiens,PON2,Homo sapiens,NDUFA9,1.831220119
Homo sapiens,TPP1,Homo sapiens,NDUFA9,1.810302448
Homo sapiens,BCKDHB,Homo sapiens,NDUFA9,1.777067474
Homo sapiens,HK1,Homo sapiens,NDUFA9,1.770247071
Homo sapiens,ATP6V1A,Homo sapiens,NDUFA9,1.715243705
Homo sapiens,LRPPRC,Homo sapiens,NDUFA9,1.708026361
Homo sapiens,POR,Homo sapiens,NDUFA9,1.687236526
Homo sapiens,NDUFS1,Homo sapiens,NDUFA9,1.68170936
Homo sapiens,NDUFV1,Homo sapiens,NDUFA9,1.678814362
Homo sapiens,NNT,Homo sapiens,NDUFA9,1.674123802
Homo sapiens,UQCRC1,Homo sapiens,NDUFA9,1.658399546
Homo sapiens,P4HA1,Homo sapiens,NDUFA9,1.638356674
Homo sapiens,NDUFA9,Homo sapiens,PTRF,1.583365183
Homo sapiens,ASPH,Homo sapiens,NDUFA9,1.574630551
Homo sapiens,UQCRC2,Homo sapiens,NDUFA9,1.558853017
Homo sapiens,NDUFS3,Homo sapiens,NDUFA9,1.55317995
Homo sapiens,CYC1,Homo sapiens,NDUFA9,1.535650371
Homo sapiens,ATP2A2,Homo sapiens,NDUFA9,1.519530703
Homo sapiens,LONP1,Homo sapiens,NDUFA9,1.518873096
Homo sapiens,VCP,Homo sapiens,NDUFA9,1.469782596
Homo sapiens,NDUFA9,Homo sapiens,LAMTOR2,1.464732743
Homo sapiens,COMT,Homo sapiens,NDUFA9,1.463051793
Homo sapiens,NDUFA9,Homo sapiens,CORO1C,1.457691261
Homo sapiens,ANKRD34C,Homo sapiens,NDUFA9,1.542267845
Homo sapiens,ATP5B,Homo sapiens,NDUFA9,1.500231555
Homo sapiens,ATP5C1,Homo sapiens,NDUFA9,1.610681185
Homo sapiens,CALR,Homo sapiens,NDUFA9,1.481391094
Homo sapiens,CANX,Homo sapiens,NDUFA9,1.585054187
Homo sapiens,COX4I1,Homo sapiens,NDUFA9,1.575309813
Homo sapiens,COX6C,Homo sapiens,NDUFA9,1.558735468
Homo sapiens,COX7A2,Homo sapiens,NDUFA9,1.568581845
Homo sapiens,COX7A2L,Homo sapiens,NDUFA9,1.501150603
Homo sapiens,COX7C,Homo sapiens,NDUFA9,1.589046104
Homo sapiens,HADHA,Homo sapiens,NDUFA9,1.703196308
Homo sapiens,HADHB,Homo sapiens,NDUFA9,1.62928446
Homo sapiens,HSP90B1,Homo sapiens,NDUFA9,1.535101343
Homo sapiens,MGST3,Homo sapiens,NDUFA9,1.585652305
Homo sapiens,COX2,Homo sapiens,NDUFA9,1.577446478
Homo sapiens,MYL12A,Homo sapiens,NDUFA9,1.51522955
Homo sapiens,NDUFA4,Homo sapiens,NDUFA9,1.507617101
Homo sapiens,NDUFA9,Homo sapiens,C20orf24,1.536084145
Homo sapiens,NDUFA9,Homo sapiens,COA3,1.609819498
Homo sapiens,NDUFA9,Homo sapiens,MINOS1,1.798439919
Homo sapiens,NDUFA9,Homo sapiens,MTCH2,1.465581287
Homo sapiens,NDUFA9,Homo sapiens,NIPSNAP1,1.596227709
Homo sapiens,NDUFA9,Homo sapiens,PHB2,1.534950766
Homo sapiens,NDUFA9,Homo sapiens,SCCPDH,1.738310393
Homo sapiens,NDUFA9,Homo sapiens,TOMM22,1.585908322
Homo sapiens,NDUFA9,Homo sapiens,TOMM5,1.638201914
Homo sapiens,NDUFA9,Homo sapiens,VDAC3,1.627411175
Homo sapiens,NDUFB8,Homo sapiens,NDUFA9,1.549279855
Homo sapiens,NDUFS2,Homo sapiens,NDUFA9,1.472430693
Homo sapiens,NDUFS5,Homo sapiens,NDUFA9,1.451057274
Homo sapiens,NDUFS7,Homo sapiens,NDUFA9,1.594820469
Homo sapiens,NDUFS8,Homo sapiens,NDUFA9,1.54055392
Homo sapiens,PDHA1,Homo sapiens,NDUFA9,1.598477628
Homo sapiens,PDHB,Homo sapiens,NDUFA9,1.681457302
Homo sapiens,PHB,Homo sapiens,NDUFA9,1.541470006
Homo sapiens,TFAM,Homo sapiens,NDUFA9,1.500438521
Homo sapiens,TOMM40,Homo sapiens,NDUFA9,1.547872825
Homo sapiens,UQCRQ,Homo sapiens,NDUFA9,1.760717967
Homo sapiens,VDAC2,Homo sapiens,NDUFA9,1.652831197
Homo sapiens,ACAD9,Homo sapiens,NDUFA9,1.0
Homo sapiens,AUH,Homo sapiens,NDUFA9,1.0
Homo sapiens,C12orf65,Homo sapiens,NDUFA9,1.0
Homo sapiens,C17orf80,Homo sapiens,NDUFA9,0.99
Homo sapiens,C1QBP,Homo sapiens,NDUFA9,1.0
Homo sapiens,C21orf33,Homo sapiens,NDUFA9,1.0
Homo sapiens,C6orf203,Homo sapiens,NDUFA9,1.0
Homo sapiens,C8orf82,Homo sapiens,NDUFA9,1.0
Homo sapiens,MCUR1,Homo sapiens,NDUFA9,1.0
Homo sapiens,CCDC90B,Homo sapiens,NDUFA9,1.0
Homo sapiens,CHCHD1,Homo sapiens,NDUFA9,0.94
Homo sapiens,COX15,Homo sapiens,NDUFA9,1.0
Homo sapiens,CRYZ,Homo sapiens,NDUFA9,0.96
Homo sapiens,CS,Homo sapiens,NDUFA9,1.0
Homo sapiens,DDX28,Homo sapiens,NDUFA9,0.93
Homo sapiens,FASTKD2,Homo sapiens,NDUFA9,1.0
Homo sapiens,FASTKD3,Homo sapiens,NDUFA9,0.9
Homo sapiens,FASTKD5,Homo sapiens,NDUFA9,1.0
Homo sapiens,GFM1,Homo sapiens,NDUFA9,1.0
Homo sapiens,GFM2,Homo sapiens,NDUFA9,0.97
Homo sapiens,GRSF1,Homo sapiens,NDUFA9,1.0
Homo sapiens,HINT2,Homo sapiens,NDUFA9,1.0
Homo sapiens,ICT1,Homo sapiens,NDUFA9,1.0
Homo sapiens,LONP1,Homo sapiens,NDUFA9,1.0
Homo sapiens,LRPPRC,Homo sapiens,NDUFA9,1.0
Homo sapiens,MCU,Homo sapiens,NDUFA9,1.0
Homo sapiens,CCDC109B,Homo sapiens,NDUFA9,1.0
Homo sapiens,MDH2,Homo sapiens,NDUFA9,1.0
Homo sapiens,METTL15,Homo sapiens,NDUFA9,1.0
Homo sapiens,METTL17,Homo sapiens,NDUFA9,1.0
Homo sapiens,APOO,Homo sapiens,NDUFA9,0.98
Homo sapiens,MRPL11,Homo sapiens,NDUFA9,1.0
Homo sapiens,MRPS12,Homo sapiens,NDUFA9,0.99
Homo sapiens,MRPS26,Homo sapiens,NDUFA9,1.0
Homo sapiens,MRRF,Homo sapiens,NDUFA9,1.0
Homo sapiens,MTERF3,Homo sapiens,NDUFA9,1.0
Homo sapiens,MTG1,Homo sapiens,NDUFA9,0.89
Homo sapiens,MTG2,Homo sapiens,NDUFA9,0.99
Homo sapiens,MTIF2,Homo sapiens,NDUFA9,1.0
Homo sapiens,MTIF3,Homo sapiens,NDUFA9,1.0
Homo sapiens,MTRF1,Homo sapiens,NDUFA9,1.0
Homo sapiens,MTRF1L,Homo sapiens,NDUFA9,1.0
Homo sapiens,NGRN,Homo sapiens,NDUFA9,0.98
Homo sapiens,OTC,Homo sapiens,NDUFA9,0.92
Homo sapiens,PMPCA,Homo sapiens,NDUFA9,1.0
Homo sapiens,PMPCB,Homo sapiens,NDUFA9,1.0
Homo sapiens,RMND1,Homo sapiens,NDUFA9,0.94
Homo sapiens,RPUSD3,Homo sapiens,NDUFA9,0.98
Homo sapiens,RPUSD4,Homo sapiens,NDUFA9,1.0
Homo sapiens,SLIRP,Homo sapiens,NDUFA9,1.0
Homo sapiens,SSBP1,Homo sapiens,NDUFA9,1.0
Homo sapiens,SURF1,Homo sapiens,NDUFA9,0.99
Homo sapiens,TACO1,Homo sapiens,NDUFA9,1.0
Homo sapiens,TBRG4,Homo sapiens,NDUFA9,1.0
Homo sapiens,TEFM,Homo sapiens,NDUFA9,0.96
Homo sapiens,TFAM,Homo sapiens,NDUFA9,1.0
Homo sapiens,TMEM70,Homo sapiens,NDUFA9,1.0
Homo sapiens,TRUB2,Homo sapiens,NDUFA9,1.0
Homo sapiens,TSFM,Homo sapiens,NDUFA9,1.0
Homo sapiens,TUFM,Homo sapiens,NDUFA9,1.0
Homo sapiens,VWA8,Homo sapiens,NDUFA9,1.0
Homo sapiens,EXD2,Homo sapiens,NDUFA9,1.0
Homo sapiens,DNAJB8,Homo sapiens,NDUFA9,65.0
Homo sapiens,DNAJC15,Homo sapiens,NDUFA9,315.0
Homo sapiens,DNAJC25,Homo sapiens,NDUFA9,545.0
Homo sapiens,DNAJA3,Homo sapiens,NDUFA9,35.98
Homo sapiens,DNAJC15,Homo sapiens,NDUFA9,47.86
Homo sapiens,DNAJC19,Homo sapiens,NDUFA9,27.19
Homo sapiens,DNAJC28,Homo sapiens,NDUFA9,31.74
Homo sapiens,HSCB,Homo sapiens,NDUFA9,59.74
Homo sapiens,HSPA9,Homo sapiens,NDUFA9,25.4
Homo sapiens,COX4I1,Homo sapiens,NDUFA9,42.0
Homo sapiens,LAMP1,Homo sapiens,NDUFA9,20.0
Homo sapiens,NDUFA9,Homo sapiens,NDUFB9,0.997555957
Homo sapiens,NDUFA9,Homo sapiens,NDUFB5,0.99789523
Homo sapiens,NDUFB11,Homo sapiens,NDUFA9,0.987285636
Homo sapiens,NDUFA9,Homo sapiens,NEDD8-MDP1,0.842669128
Homo sapiens,NDUFA9,Homo sapiens,NDUFS4,0.999330532
Homo sapiens,NDUFA9,Homo sapiens,PDP1,0.954686586
Homo sapiens,NDUFS3,Homo sapiens,NDUFA9,0.991481918
Homo sapiens,NDUFA9,Homo sapiens,ND5,0.990631889
Homo sapiens,NDUFA12,Homo sapiens,NDUFA9,0.999854035
Homo sapiens,NDUFA9,Homo sapiens,NDUFA8,0.950516436
Homo sapiens,NDUFV2,Homo sapiens,NDUFA9,0.997119693
Homo sapiens,NDUFB8,Homo sapiens,NDUFA9,0.997927335
Homo sapiens,NDUFC2,Homo sapiens,NDUFA9,0.999901418
Homo sapiens,NDUFV3,Homo sapiens,NDUFA9,0.999999899
Homo sapiens,NDUFA9,Homo sapiens,NDUFA3,0.787264185
Homo sapiens,NDUFA9,Homo sapiens,NDUFA2,0.866489181
Homo sapiens,NDUFA9,Homo sapiens,HSPD1,0.922356238
Homo sapiens,NDUFA9,Homo sapiens,NDUFB7,0.99999961
Homo sapiens,NDUFA9,Homo sapiens,NDUFB6,0.999981972
Homo sapiens,NDUFA1,Homo sapiens,NDUFA9,0.89407292
Homo sapiens,NDUFA7,Homo sapiens,NDUFA9,0.999994699
Homo sapiens,NDUFA9,Homo sapiens,ND4,0.993504115
Homo sapiens,NDUFA9,Homo sapiens,NDUFS6,0.999920116
Homo sapiens,MRPS6,Homo sapiens,NDUFA9,0.856359072
Homo sapiens,NDUFB3,Homo sapiens,NDUFA9,0.999583242
Homo sapiens,ITGAD,Homo sapiens,NDUFA9,0.911469233
Homo sapiens,NDUFS7,Homo sapiens,NDUFA9,0.999979388
Homo sapiens,CD97,Homo sapiens,NDUFA9,0.750614938
Homo sapiens,C17orf62,Homo sapiens,NDUFA9,0.763237933
Homo sapiens,HLA-DRB1,Homo sapiens,NDUFA9,0.902571903
Homo sapiens,NDUFA9,Homo sapiens,NDUFA13,0.999864597
Homo sapiens,GPR55,Homo sapiens,NDUFA9,0.791830827
Homo sapiens,EMP3,Homo sapiens,NDUFA9,0.862632119
Homo sapiens,SSSCA1,Homo sapiens,NDUFA9,0.843203208
Homo sapiens,NDUFA9,Homo sapiens,NDUFA5,0.964552256
Homo sapiens,NDUFA9,Homo sapiens,NDUFB11,0.999999994
Homo sapiens,GPR182,Homo sapiens,NDUFA9,0.860955011
Homo sapiens,NDUFA9,Homo sapiens,NDUFB10,0.980294617
Homo sapiens,NDUFA9,Homo sapiens,NDUFB8,0.999997233
Homo sapiens,NDUFA9,Homo sapiens,NDUFB4,0.993255733
Homo sapiens,NDUFA9,Homo sapiens,NDUFS1,0.97878293
Homo sapiens,NDUFA9,Homo sapiens,NDUFC2,0.999999628
Homo sapiens,HLA-DQB1,Homo sapiens,NDUFA9,0.879911054
Homo sapiens,APLNR,Homo sapiens,NDUFA9,0.897953481
Homo sapiens,NDUFA9,Homo sapiens,ATP5C1,0.999684612
Homo sapiens,HSPD1,Homo sapiens,NDUFA9,0.897548271
Homo sapiens,NDUFA9,Homo sapiens,NDUFS3,0.863365817
Homo sapiens,NDUFA9,Homo sapiens,NDUFV1,0.988719426
Homo sapiens,NDUFA9,Homo sapiens,NDUFS2,0.99684383
Homo sapiens,NDUFA9,Homo sapiens,NDUFS5,0.999669693
Homo sapiens,NDUFA9,Homo sapiens,NDUFV2,0.997093988
Homo sapiens,NDUFA9,Homo sapiens,DNAJC30,0.999986503
Homo sapiens,NDUFS6,Homo sapiens,NDUFA9,1.0
Homo sapiens,NDUFA9,Homo sapiens,NDUFA12,0.999994188
Homo sapiens,NDUFA9,Homo sapiens,NDUFB3,0.999999999
Homo sapiens,NDUFA9,Homo sapiens,NDUFA6,0.999494335
Homo sapiens,NDUFA9,Homo sapiens,NDUFA7,0.999999999
Homo sapiens,NDUFA9,Homo sapiens,NDUFA10,0.992989271
Homo sapiens,NDUFA9,Homo sapiens,NDUFB1,0.992323619
Homo sapiens,NRP1,Homo sapiens,NDUFA9,1.0
Homo sapiens,BSG,Homo sapiens,NDUFA9,1.0
Homo sapiens,TMPRSS2,Homo sapiens,NDUFA9,0.99
Homo sapiens,TMPRSS4,Homo sapiens,NDUFA9,0.99
Homo sapiens,CLEC4E,Homo sapiens,NDUFA9,0.98
Homo sapiens,NUAK1,Homo sapiens,NDUFA9,68.0
Homo sapiens,RAF1,Homo sapiens,NDUFA9,102.0
Homo sapiens,MAPK4,Homo sapiens,NDUFA9,136.0
Homo sapiens,IRAK1,Homo sapiens,NDUFA9,136.0
Homo sapiens,NEK8,Homo sapiens,NDUFA9,170.0
Homo sapiens,PSKH2,Homo sapiens,NDUFA9,238.0
Homo sapiens,MFSD10,Homo sapiens,NDUFA9,0.723417384
Homo sapiens,SLC27A4,Homo sapiens,NDUFA9,0.434379948
Homo sapiens,SLC35B2,Homo sapiens,NDUFA9,0.452400367
Homo sapiens,SLC6A15,Homo sapiens,NDUFA9,0.429728407
Homo sapiens,BABAM1,Homo sapiens,NDUFA5,1.36
Homo sapiens,DMWD,Homo sapiens,NDUFA5,1.92
Homo sapiens,NDUFA5,Homo sapiens,NDUFS3,0.88
Homo sapiens,NDUFA5,Homo sapiens,NDUFB9,0.772
Homo sapiens,NDUFA5,Homo sapiens,NDUFB10,0.759
Homo sapiens,GCN1L1,Homo sapiens,NDUFA5,0.846
Homo sapiens,EWSR1,Homo sapiens,NDUFA5,0.792
Homo sapiens,NDUFS3,Homo sapiens,NDUFA5,0.985271238
Homo sapiens,NDUFS3,Homo sapiens,NDUFA5,99.0
Homo sapiens,NDUFA4,Homo sapiens,NDUFA5,98.4
Homo sapiens,COQ9,Homo sapiens,NDUFA5,98.3
Homo sapiens,DHRS4,Homo sapiens,NDUFA5,98.0
Homo sapiens,C15orf48,Homo sapiens,NDUFA5,97.9
Homo sapiens,NDUFAF4,Homo sapiens,NDUFA5,97.5
Homo sapiens,CISD3,Homo sapiens,NDUFA5,97.5
Homo sapiens,C2orf47,Homo sapiens,NDUFA5,96.3
Homo sapiens,CHCHD10,Homo sapiens,NDUFA5,96.0
Homo sapiens,C17orf89,Homo sapiens,NDUFA5,95.6
Homo sapiens,NDUFS3,Homo sapiens,NDUFA5,0.959238723
Homo sapiens,COX15,Homo sapiens,NDUFA5,0.00207688
Homo sapiens,SOAT1,Homo sapiens,NDUFA5,0.00225412
Homo sapiens,VDAC1,Homo sapiens,NDUFA5,0.00517212
Homo sapiens,NDUFA5,Homo sapiens,SLC25A24,1.577771317
Homo sapiens,RCN2,Homo sapiens,NDUFA5,1.57355648
Homo sapiens,ATP5H,Homo sapiens,NDUFA5,1.515315384
Homo sapiens,CANX,Homo sapiens,NDUFA5,1.490532479
Homo sapiens,CYB5A,Homo sapiens,NDUFA5,1.485217555
Homo sapiens,COX6C,Homo sapiens,NDUFA5,1.479872753
Homo sapiens,PDHB,Homo sapiens,NDUFA5,1.465293159
Homo sapiens,ATP5B,Homo sapiens,NDUFA5,1.650197751
Homo sapiens,ATP5O,Homo sapiens,NDUFA5,1.470892928
Homo sapiens,ATP6V1B2,Homo sapiens,NDUFA5,1.665577286
Homo sapiens,COX6A1,Homo sapiens,NDUFA5,1.519487704
Homo sapiens,HADHB,Homo sapiens,NDUFA5,1.525381184
Homo sapiens,NDUFA5,Homo sapiens,CORO1C,1.552682013
Homo sapiens,NDUFA5,Homo sapiens,MCCC2,1.480435898
Homo sapiens,NDUFA5,Homo sapiens,MTCH2,1.649847442
Homo sapiens,NDUFA5,Homo sapiens,NDUFB11,1.509322148
Homo sapiens,NDUFA5,Homo sapiens,NDUFB9,1.498451009
Homo sapiens,NDUFA5,Homo sapiens,TOMM5,1.456362426
Homo sapiens,NDUFA8,Homo sapiens,NDUFA5,1.563259724
Homo sapiens,NDUFS1,Homo sapiens,NDUFA5,1.472940982
Homo sapiens,NDUFS8,Homo sapiens,NDUFA5,1.521284617
Homo sapiens,PHB,Homo sapiens,NDUFA5,1.603618527
Homo sapiens,UQCRC1,Homo sapiens,NDUFA5,1.638714548
Homo sapiens,UQCRC2,Homo sapiens,NDUFA5,1.51449969
Homo sapiens,VDAC1,Homo sapiens,NDUFA5,1.556107607
Homo sapiens,VDAC2,Homo sapiens,NDUFA5,1.45295966
Homo sapiens,ARHGAP36,Homo sapiens,NDUFA5,10.84249144
Homo sapiens,ACAD9,Homo sapiens,NDUFA5,1.0
Homo sapiens,AUH,Homo sapiens,NDUFA5,1.0
Homo sapiens,C12orf65,Homo sapiens,NDUFA5,1.0
Homo sapiens,C17orf80,Homo sapiens,NDUFA5,1.0
Homo sapiens,C1QBP,Homo sapiens,NDUFA5,1.0
Homo sapiens,C21orf33,Homo sapiens,NDUFA5,1.0
Homo sapiens,C6orf203,Homo sapiens,NDUFA5,1.0
Homo sapiens,C8orf82,Homo sapiens,NDUFA5,1.0
Homo sapiens,MCUR1,Homo sapiens,NDUFA5,1.0
Homo sapiens,CCDC90B,Homo sapiens,NDUFA5,1.0
Homo sapiens,CHCHD1,Homo sapiens,NDUFA5,1.0
Homo sapiens,CLPB,Homo sapiens,NDUFA5,0.97
