Species A,Gene A,Species B,Gene B,Score
Homo sapiens,ADRM1,Homo sapiens,PSMD6,0.976502008
Homo sapiens,CCDC92,Homo sapiens,ADRM1,0.999984266
Homo sapiens,PSMD10,Homo sapiens,ADRM1,0.99954288
Homo sapiens,ADRM1,Homo sapiens,PSMD2,0.999547691
Homo sapiens,TMEM31,Homo sapiens,ADRM1,0.912157872
Homo sapiens,PSMD7,Homo sapiens,ADRM1,0.999311504
Homo sapiens,PSMD4,Homo sapiens,ADRM1,0.995918509
Homo sapiens,UCHL5,Homo sapiens,ADRM1,0.999999376
Homo sapiens,PSMD13,Homo sapiens,ADRM1,0.999943624
Homo sapiens,PSMD5,Homo sapiens,ADRM1,0.934222144
Homo sapiens,CCDC74B,Homo sapiens,ADRM1,0.948289057
Homo sapiens,ADRM1,Homo sapiens,PSMD12,0.999759619
Homo sapiens,CCDC74A,Homo sapiens,ADRM1,0.978569384
Homo sapiens,ADRM1,Homo sapiens,PIPSL,0.994456395
Homo sapiens,ADRM1,Homo sapiens,RPA4,0.997976095
Homo sapiens,PSMC4,Homo sapiens,ADRM1,0.99631396
Homo sapiens,ADRM1,Homo sapiens,PAAF1,0.999890695
Homo sapiens,ADRM1,Homo sapiens,INSL3,0.999998664
Homo sapiens,PSMC3,Homo sapiens,ADRM1,0.981254057
Homo sapiens,ADRM1,Homo sapiens,PSMD5,0.998945848
Homo sapiens,ADRM1,Homo sapiens,POTEF,0.891535826
Homo sapiens,PSMD12,Homo sapiens,ADRM1,0.999828127
Homo sapiens,CCNF,Homo sapiens,ADRM1,100.0
Homo sapiens,CCNF,Homo sapiens,ADRM1,8.837
Homo sapiens,PHKG2,Homo sapiens,ADRM1,0.618550219
Homo sapiens,RNF130,Homo sapiens,ADRM1,13.28
Homo sapiens,SLC10A5,Homo sapiens,ADRM1,0.9224644
Homo sapiens,SLC30A1,Homo sapiens,ADRM1,0.487093721
Homo sapiens,SLC9C1,Homo sapiens,ADRM1,0.631195665
Homo sapiens,NELFCD,Homo sapiens,COX5A,0.38
Homo sapiens,COX5A,Homo sapiens,COPS6,2.0
Homo sapiens,COX5A,Homo sapiens,COX5B,0.832
Homo sapiens,COX5A,Homo sapiens,UQCRB,0.769
Homo sapiens,COX5A,Homo sapiens,HNRNPA0,0.843
Homo sapiens,COX5A,Homo sapiens,DAP3,0.821
Homo sapiens,COX5A,Homo sapiens,SLC38A2,0.812
Homo sapiens,COX5A,Homo sapiens,RAB8A,0.791
Homo sapiens,ATP5D,Homo sapiens,COX5A,0.39247821
Homo sapiens,COX4I1,Homo sapiens,COX5A,0.158737551
Homo sapiens,COX6B1,Homo sapiens,COX5A,0.234989559
Homo sapiens,NDUFV1,Homo sapiens,COX5A,0.07344204
Homo sapiens,NONO,Homo sapiens,COX5A,0.093167821
Homo sapiens,OGDH,Homo sapiens,COX5A,0.101857878
Homo sapiens,PDHB,Homo sapiens,COX5A,0.080517942
Homo sapiens,PSMD11,Homo sapiens,COX5A,0.088382057
Homo sapiens,SFPQ,Homo sapiens,COX5A,0.129489052
Homo sapiens,TIMM9,Homo sapiens,COX5A,0.071058983
Homo sapiens,TPM1,Homo sapiens,COX5A,0.151763963
Homo sapiens,TPM3,Homo sapiens,COX5A,0.134722245
Homo sapiens,TPM4,Homo sapiens,COX5A,0.150652333
Homo sapiens,UQCRB,Homo sapiens,COX5A,0.306385263
Homo sapiens,VDAC3,Homo sapiens,COX5A,0.074225628
Homo sapiens,YBX1,Homo sapiens,COX5A,0.103029791
Homo sapiens,YBX3,Homo sapiens,COX5A,0.07366806
Homo sapiens,COX5A,Homo sapiens,CYC1,0.281655332
Homo sapiens,COX5A,Homo sapiens,NEMF,0.122644323
Homo sapiens,C15orf48,Homo sapiens,COX5A,96.2
Homo sapiens,NDUFA4,Homo sapiens,COX5A,96.1
Homo sapiens,OPA3,Homo sapiens,COX5A,95.4
Homo sapiens,COQ9,Homo sapiens,COX5A,95.2
Homo sapiens,PTPMT1,Homo sapiens,COX5A,95.0
Homo sapiens,CISD3,Homo sapiens,COX5A,94.8
Homo sapiens,CHCHD2,Homo sapiens,COX5A,94.7
Homo sapiens,CHCHD10,Homo sapiens,COX5A,94.6
Homo sapiens,COX5A,Homo sapiens,COX4I1,0.999600572
Homo sapiens,COX5A,Homo sapiens,COX7A2L,0.99926068
Homo sapiens,COX5A,Homo sapiens,SLC30A9,0.995319715
Homo sapiens,COX5A,Homo sapiens,COX1,0.760365726
Homo sapiens,VDAC1,Homo sapiens,COX5A,0.0027774
Homo sapiens,COX5A,Homo sapiens,COX5A,-4.13606415
Homo sapiens,COX5A,Homo sapiens,MED23,-3.214206078
Homo sapiens,COX5A,Homo sapiens,MTBP,-3.454331712
Homo sapiens,COX5A,Homo sapiens,RPL35,-5.14548546
Homo sapiens,COX5A,Homo sapiens,GUK1,1.689749243
Homo sapiens,COX5A,Homo sapiens,LAP3,1.663113388
Homo sapiens,COX7C,Homo sapiens,COX5A,1.633807674
Homo sapiens,HSPA5,Homo sapiens,COX5A,1.631121499
Homo sapiens,COX5A,Homo sapiens,ACTB,1.625611875
Homo sapiens,COX5A,Homo sapiens,ATP5O,1.625467119
Homo sapiens,GSTP1,Homo sapiens,COX5A,1.62375696
Homo sapiens,COX5A,Homo sapiens,PHB,1.620287508
Homo sapiens,COX5A,Homo sapiens,ATP5A1,1.618196836
Homo sapiens,COX5A,Homo sapiens,PMPCA,1.608344612
Homo sapiens,COX5A,Homo sapiens,PHB2,1.598340648
Homo sapiens,ATP5H,Homo sapiens,COX5A,1.585486977
Homo sapiens,TBCA,Homo sapiens,COX5A,1.584047216
Homo sapiens,COX5A,Homo sapiens,HADHB,1.578552896
Homo sapiens,COX5A,Homo sapiens,CLIC4,1.577069781
Homo sapiens,COX5A,Homo sapiens,FXN,1.572729116
Homo sapiens,COX5A,Homo sapiens,ATP5F1,1.563647495
Homo sapiens,COX5A,Homo sapiens,BCAP31,1.560154914
Homo sapiens,COX6C,Homo sapiens,COX5A,1.540869277
Homo sapiens,COX5A,Homo sapiens,MTCH2,1.528147177
Homo sapiens,COX5A,Homo sapiens,COA3,1.517299383
Homo sapiens,COX5A,Homo sapiens,TXN2,1.506588081
Homo sapiens,CYB5A,Homo sapiens,COX5A,1.493978573
Homo sapiens,COX5A,Homo sapiens,SCCPDH,1.48280636
Homo sapiens,FKBP9,Homo sapiens,COX5A,1.481808538
Homo sapiens,NDUFB10,Homo sapiens,COX5A,1.480305223
Homo sapiens,COX5A,Homo sapiens,HSPA9,1.47737975
Homo sapiens,COX5A,Homo sapiens,NDUFB9,1.47302528
Homo sapiens,COX4I1,Homo sapiens,COX5A,1.471137267
Homo sapiens,COX5A,Homo sapiens,NIPSNAP1,1.464752209
Homo sapiens,COX5A,Homo sapiens,C21orf33,1.461794635
Homo sapiens,COX5A,Homo sapiens,GSTK1,1.452137381
Homo sapiens,ATP5B,Homo sapiens,COX5A,1.582405613
Homo sapiens,BCKDHA,Homo sapiens,COX5A,1.48434227
Homo sapiens,COX5A,Homo sapiens,ATP5C1,1.623066359
Homo sapiens,COX5A,Homo sapiens,C20orf24,1.483621091
Homo sapiens,COX5A,Homo sapiens,HADHA,1.633891882
Homo sapiens,COX5A,Homo sapiens,NDUFV1,1.471295129
Homo sapiens,COX5A,Homo sapiens,TFAM,1.46526434
Homo sapiens,COX5A,Homo sapiens,UQCRC2,1.598148219
Homo sapiens,COX8A,Homo sapiens,COX5A,1.549440656
Homo sapiens,CYC1,Homo sapiens,COX5A,1.619984354
Homo sapiens,GBAS,Homo sapiens,COX5A,1.479613823
